STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,M,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,23.093518,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Male,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,F,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,24.61053727,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Female,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,INCOME_GE_Q3,_T,_T,2024,23.24966362,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Income Level: Richest 60%,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,INCOME_Q1T2,_T,_T,2024,24.74971867,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Income Level: Poorest 40%,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE25,_T,PT_RESP,_T,_T,_T,2024,24.94178506,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,25 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y15T24,_T,PT_RESP,_T,_T,_T,2024,19.98639601,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 to 24 years old,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,RUR,PT_RESP,_T,_T,_T,2024,27.78999995,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Rural area,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,URB,PT_RESP,_T,_T,_T,2024,19.37694335,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Urban area,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,_T,LFP_OUTWORK,_T,2024,21.07132883,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Employment: Out of the workforce/labor force,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,_T,LFP_INWORK,_T,2024,25.65102997,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Employment: In the workforce/labor force,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_GE_2_3,2024,27.07066826,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Secondary education or more,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6LM,_T,Y_GE15,_T,PT_RESP,_T,_T,ISCED11_0T1,2024,18.84754085,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, less than once a month",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Education: Primary education or less,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN6N,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,2.106347571,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Sent or withdrew money from a bank or similar financial institution, Never",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN11_0,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,1.020431364,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,Own a card that you can add money to and use to send and receive money or make purchases,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN9A,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,16.41827749,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Received information about account balance from bank through email, SMS, or text message on mobile in the past 12 months",Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_FIN9A,M,Y_GE15,_T,PT_RESP,_T,_T,_T,2024,18.15060393,_Z,RATIO,2,WB_FINDEX,602,0,A,PU,Triennial,Indonesia,"Received information about account balance from bank through email, SMS, or text message on mobile in the past 12 months",Male,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Not Applicable,Ratio,Two,Global Findex Database,CCYY,Units,Normal value,Public
